Single,Question,Segment Type,Count,Segment Description,Answer,Percentage,timestamp,Values
False,what movie did rod serling write,Mobile,1,University of Miami,I don't use Tinder,0.757908291513765,22/12/21 16:23,1
False,is there an animated adult fantasy movie,Mobile,14,University of Michigan,Yes,0.677935498275761,22/12/21 16:38,1
True,the song sunshine on my shoulders was the soundtrack for what movie,Mobile,49,University of Michigan,No,0.487759751052418,22/12/21 16:53,1
True,are there any movies about popular game shows,Web,23,University of Michigan,I don't use Tinder,0.953316240857137,22/12/21 17:08,
True,find me the name of the actor that played v in v for vendetta,Mobile,1,University of Oregon,Yes,0.766184511626604,22/12/21 17:23,
False,what was the last terminator sequel,Mobile,4,University of Oregon,No,0.562995943732033,22/12/21 17:38,1
False,what science fiction movies were directed by george lucas,Mobile,0,University of Oregon,I don't use Tinder,0.362200999347213,22/12/21 17:53,1
True,who directed princess bride,Web,1,University of Southern California,Yes,0.543351510304656,22/12/21 18:08,1
False,who directed james and the giant peach,Mobile,7,University of Southern California,No,0.890039824963378,22/12/21 18:23,1
False,name a western comedy,Mobile,2,University of Southern California,I don't use Tinder,0.780710644529739,22/12/21 18:38,1
True,what type of movie is nine,Mobile,3,University of Virginia,Yes,0.426377395361806,22/12/21 18:53,1
True,how many movies have starred brad pitt,University,7,University of Virginia,No,0.825858336407901,22/12/21 19:08,1
True,i am looking for a movie about talking animals,Mobile,8,University of Virginia,I don't use Tinder,0.805053767499505,22/12/21 19:23,1
True,find a john malcovich thriller,University,23,Vanderbilt University,Yes,0.505878400519808,22/12/21 19:38,1
True,channing tatum has played what starring roles,University,63,Vanderbilt University,No,0.526232520389434,22/12/21 19:53,1
False,list of actors a beautiful mind,Mobile,12,Vanderbilt University,I don't use Tinder,0.422390544707786,22/12/21 20:08,1
True,avatar came out when and what did it gross,Web,0,Wesleyan University,Yes,0.078417818187022,22/12/21 20:23,1
False,did angelina jolie play a russian in salt,Mobile,2,Wesleyan University,No,0.495167992612439,22/12/21 20:38,
True,did they make a movie version of absolutely fabulous,Web,0,Wesleyan University,I don't use Tinder,0.133782711080099,22/12/21 20:53,
True,show me a comedy movie with eddie murphy,Mobile,12,University of Texas,Yes,0.671064735232619,22/12/21 21:08,1
False,what is brave about,Mobile,35,University of Texas,No,0.096657609890754,22/12/21 21:23,1
False,has ashton kutcher made any movies with zombies,Mobile,26,University of Texas,I don't use Tinder,0.574911879055109,22/12/21 21:38,
True,what movie stars christopher walken an sean penn,University,1,"University of California, San Diego",Yes,0.117208620869798,22/12/21 21:53,1
True,show me movies starring michael j fox from 1993,University,0,"University of California, San Diego",No,0.892243530042936,22/12/21 22:08,1
True,who starred in marley and me,Mobile,0,"University of California, San Diego",I don't use Tinder,0.313187699812203,22/12/21 22:23,
False,what movie has the song down with the sickness,Mobile,0,Miami University (Ohio),Yes,0.323840459831569,22/12/21 22:38,1
False,did simon pegg write any movies,Web,1,Miami University (Ohio),No,0.338949847646836,22/12/21 22:53,
True,are there any pg movies with car chases,University,1,Miami University (Ohio),I don't use Tinder,0.627540726724291,22/12/21 23:08,
True,what movie won the most awards in 2005,Mobile,0,University of Maine,Yes,0.41333885299334,22/12/21 23:23,1
True,what is puss in boots about,Mobile,3,University of Maine,No,0.206849877003584,22/12/21 23:38,1
True,how many movies have been released in the last ten years that involved terrorism,Mobile,1,University of Maine,I don't use Tinder,0.037057828502851,22/12/21 23:53,
False,who directed runaway jury,Web,3,Texas Tech University,Yes,0.275274332558487,23/12/21 00:08,
True,show me a good spy movie based in england,Mobile,5,Texas Tech University,No,0.803605745654058,23/12/21 00:23,1
False,what popular films released last month,Web,5,Texas Tech University,I don't use Tinder,0.593354825662715,23/12/21 00:38,1
True,did dean parisot direct sigourney weaver and tim allen in a comedy,University,1,University of North Carolina,Yes,0.404024612774191,23/12/21 00:53,
True,who directed the help,Mobile,8,University of North Carolina,No,0.30405595210182,23/12/21 01:08,1
True,what is the title of woody allens first movie,University,3,University of North Carolina,I don't use Tinder,0.800619414566336,23/12/21 01:23,
True,what are some police dramas from the 90s,Mobile,12,University of Arkansas,Yes,0.066611435626225,23/12/21 01:38,1
False,how many films did clive owen play in,University,35,University of Arkansas,No,0.974524749768083,23/12/21 01:53,1
True,are there any films that harmony korine regrets directing andor releasing to the public,Mobile,19,University of Arkansas,I don't use Tinder,0.667947168810827,23/12/21 02:08,
False,show me an alfred hitchcock movie about trains,University,2,University of Mississippi,Yes,0.688984244439141,23/12/21 02:23,1
False,who stars in rumble in the bronx,University,1,University of Mississippi,No,0.503567133022722,23/12/21 02:38,
False,what was the first movie patrick stewart played in,Mobile,0,University of Mississippi,I don't use Tinder,0.435279590293507,23/12/21 02:53,1
True,what is the film john carter about,Mobile,2,Baylor University,Yes,0.117766635110212,23/12/21 03:08,
False,what is the longest running time for a movie in film history,Mobile,2,Baylor University,No,0.441439363668793,23/12/21 03:23,
True,what was the release year for notes on a scandal,Mobile,3,Baylor University,I don't use Tinder,0.79714294147999,23/12/21 03:38,
False,did milos forman direct a film with edward norton,Mobile,13,Texas A&M University,Yes,0.131743186175304,23/12/21 03:53,
False,how many movies did christopher walkin star in,Mobile,29,Texas A&M University,No,0.854142335848094,23/12/21 04:08,
False,i want to find a list of pg rated comedies of this year,University,12,Texas A&M University,I don't use Tinder,0.63132939209128,23/12/21 04:23,
False,what are some movies from the 80s starring bruce willis,University,0,University of Oklahoma,Yes,0.962977178496318,23/12/21 04:38,1
True,waht was the plot of the deep blue sea,Mobile,4,University of Oklahoma,No,0.324498320288583,23/12/21 04:53,
False,did guillermo del toro direct any moves rated pg,University,1,University of Oklahoma,I don't use Tinder,0.110354891322915,23/12/21 05:08,
False,who played james in james and the giant peach,Mobile,1,Yale University,Yes,0.262333135064884,23/12/21 05:23,1
True,what movies from 2006 star val kilmer,Mobile,0,Yale University,No,0.866982325474209,23/12/21 05:38,1
True,what kind of movie is wanderlust,University,0,Yale University,I don't use Tinder,0.023370371467945,23/12/21 05:53,
False,did whitney houston sing in the preachers wife,University,8,Cal Poly San Luis Obispo,Yes,0.152817263992402,23/12/21 06:08,
True,what techno thriller gets a low rating,University,10,Cal Poly San Luis Obispo,No,0.442300873374064,23/12/21 06:23,1
False,any good horror films that came out in 2008,Mobile,7,Cal Poly San Luis Obispo,I don't use Tinder,0.559420293561596,23/12/21 06:38,1
True,where can i watch a preview of moneyball,Mobile,1,Carnegie Mellon University,Yes,0.629192815746649,23/12/21 06:53,1
False,what is the most recent sean connery film,Mobile,3,Carnegie Mellon University,No,0.93714167921655,23/12/21 07:08,1
False,are there any scary pg rated movies,Mobile,0,Carnegie Mellon University,I don't use Tinder,0.111137616041682,23/12/21 07:23,
True,what is a recent george clooney movie with high viewers rating,University,2,Clemson University,Yes,0.271105576529932,23/12/21 07:38,1
True,which animated childrens movies are considered timeless,Web,0,Clemson University,No,0.449536356107368,23/12/21 07:53,
False,find me the movie with the song my heart will go on,Mobile,2,Clemson University,I don't use Tinder,0.300403894499097,23/12/21 08:08,
True,what are some batman movies from the 1990s,Mobile,1,University of Denver,Yes,0.676117818824436,23/12/21 08:23,
True,what horror movies have marilyn manson on the soundtrack,University,0,University of Denver,No,0.207315250282247,23/12/21 08:38,1
True,show me terry gilliam movies starring jeff bridges,University,0,University of Denver,I don't use Tinder,0.091564820311493,23/12/21 08:53,1
True,was there a trailer for bowling for columbine,Web,0,University of Washington,Yes,0.247205874575372,23/12/21 09:08,
False,when did interview with a vampire come out,University,3,University of Washington,No,0.411470449153394,23/12/21 09:23,1
False,who starred in who framed roger rabbit,University,1,University of Washington,I don't use Tinder,0.264231075227473,23/12/21 09:38,1
True,who directed 310 to yuma,University,10,University of Illinois,Yes,0.713193002567319,23/12/21 09:53,
False,what movies have batman and robin,University,29,University of Illinois,No,0.777553411791293,23/12/21 10:08,1
True,is there a horror movie starring jennifer lopez,University,8,University of Illinois,I don't use Tinder,0.121949254039876,23/12/21 10:23,
True,did the mpaa give doubt a pg 13 rating,Mobile,1,New York University,Yes,0.304070616378725,23/12/21 10:38,
False,did vin diesel star in any comdedies,Mobile,2,New York University,No,0.185843905208749,23/12/21 10:53,
True,did ray liota direct any films,Mobile,0,New York University,I don't use Tinder,0.077619208445407,23/12/21 11:08,1
False,did gwyneth paltrow play a mathematician in a movie with anthony hopkins,University,7,Butler University,Yes,0.354705035517289,23/12/21 11:23,
True,is there a movie based on a shakespeare play,Mobile,44,Butler University,No,0.929840397493506,23/12/21 11:38,1
True,find me a movie with the song lets hear it for the boys,Mobile,17,Butler University,I don't use Tinder,0.230384064252593,23/12/21 11:53,
False,what was the fog rated,Mobile,1,Washington University in St. Louis,Yes,0.486620181284302,23/12/21 12:08,
False,what was johnny depps first movie,Mobile,5,Washington University in St. Louis,No,0.523618460369209,23/12/21 12:23,
False,what was goodfellas rated,Mobile,2,Washington University in St. Louis,I don't use Tinder,0.667630596253243,23/12/21 12:38,
False,what was the name of the donkey in shrek,University,0,Northern Illinois University,Yes,0.331560203897348,23/12/21 12:53,
False,did joe pesci direct any films,Mobile,1,Northern Illinois University,No,0.614439618550341,23/12/21 13:08,1
True,what are some horror movies from the 1970s,University,1,Northern Illinois University,I don't use Tinder,0.107506472543868,23/12/21 13:23,1
True,show me a deborah harry movie,Mobile,1,University of Iowa,Yes,0.172360872664425,23/12/21 13:38,1
False,kung fu panda 2,Web,1,University of Iowa,No,0.443484636437872,23/12/21 13:53,1
True,what year was the movie the seven year itch made,University,1,University of Iowa,I don't use Tinder,0.305337807819801,23/12/21 14:08,
False,is there a comedy crime drama,University,5,Dartmouth College,Yes,0.894167650708312,23/12/21 14:23,1
True,what movie stared john travolta and debra winger,University,3,Dartmouth College,No,0.973663446777395,23/12/21 14:38,
True,directors of all the batman movies,University,2,Dartmouth College,I don't use Tinder,0.868019198053699,23/12/21 14:53,
False,what are the best werewolf movies,Mobile,0,Loyola Marymount University,Yes,0.639947113494527,23/12/21 15:08,1
False,who voices shrek in shrek,Mobile,1,Loyola Marymount University,No,0.601766181468592,23/12/21 15:23,1
False,was ray liota in any comedies,Mobile,0,Loyola Marymount University,I don't use Tinder,0.07035490197882,23/12/21 15:38,
True,what movie stars reese witherspoon in 2004,Mobile,0,Williams College,Yes,0.355319490729015,23/12/21 15:53,
False,what movie did ursula andress first appear in,University,0,Williams College,No,0.845023579083327,23/12/21 16:08,1
True,are there any movies set in the middle east starring george clooney,Mobile,1,Williams College,I don't use Tinder,0.67696964471045,23/12/21 16:23,1
True,what was a love story about a woman who had alzheimers,Mobile,1,University of Maryland,Yes,0.827777016987455,23/12/21 16:38,
True,whats a john huston flick from the 1970s,University,0,University of Maryland,No,0.674651643554846,23/12/21 16:53,
False,who played as princess fiona in shrek,Mobile,0,University of Maryland,I don't use Tinder,0.942232756159649,23/12/21 17:08,
False,is the last airbender rated g,Web,3,UMass Amherst,Yes,0.375567946440623,23/12/21 17:23,1
True,show me some grat action movies from the 90s,Mobile,6,UMass Amherst,No,0.09663877182702,23/12/21 17:38,1
True,show me dramas about the british royal family,Web,3,UMass Amherst,I don't use Tinder,0.188546359792141,23/12/21 17:53,1
True,what was the first movie ever released,University,4,University of Arizona,Yes,0.829005678860803,23/12/21 18:08,1
False,are there any movies with catherine ohara that were set during christmas time,Web,4,University of Arizona,No,0.295704954457771,23/12/21 18:23,1
False,show me a james bond movie starring sean connery,Mobile,3,University of Arizona,I don't use Tinder,0.887013468084964,23/12/21 18:38,
True,what was the title of the bio pic about robert e howard,University,8,Texas Christian University,Yes,0.219397713844132,23/12/21 18:53,1
False,what is the theme song to stand by me,University,8,Texas Christian University,No,0.525853876056183,23/12/21 19:08,
True,when did runaway jury come out,University,10,Texas Christian University,I don't use Tinder,0.086618290795268,23/12/21 19:23,
True,who directed the japanese film versus,University,1,Emory University,Yes,0.433284426937856,23/12/21 19:38,
False,show me a film that ben stiller directed,Mobile,3,Emory University,No,0.915244335567357,23/12/21 19:53,1
False,name a kirk douglas science fiction film,University,1,Emory University,I don't use Tinder,0.307016452483256,23/12/21 20:08,1
True,are there any five star kevin bacon movies,Mobile,2,Columbia University,Yes,0.850427851295101,23/12/21 20:23,1
False,who stars in the girl with the dragon tattoo,University,3,Columbia University,No,0.858702890159702,23/12/21 20:38,1
True,who was the male lead in gone with the wind,University,1,Columbia University,I don't use Tinder,0.990502084722652,23/12/21 20:53,1
False,who played jake sully in avatar,Web,5,Purdue University,Yes,0.138906881568135,23/12/21 21:08,
False,who directed pirates of the caribbean,Mobile,13,Purdue University,No,0.787064795399654,23/12/21 21:23,1
False,what are some fun highly rated action movieds,University,8,Purdue University,I don't use Tinder,0.263131134344082,23/12/21 21:38,
True,did people like or hate the last twilight movie,University,3,Tufts University,Yes,0.322140270236576,23/12/21 21:53,
False,what are the best johnny depp movies,Mobile,2,Tufts University,No,0.36743998407414,23/12/21 22:08,1
False,show me movies directed by alexander payne from the 2000s,Web,2,Tufts University,I don't use Tinder,0.565794600095552,23/12/21 22:23,
False,what are some good horror movies from 1974,Web,2,University of Richmond,Yes,0.319182685426381,23/12/21 22:38,1
True,find me a movie with the song over the rainbow in it,Mobile,9,University of Richmond,No,0.558691429321289,23/12/21 22:53,1
True,i want a 1960s zombie flick,Mobile,7,University of Richmond,I don't use Tinder,0.957239250818311,23/12/21 23:08,
True,how many lord of the rings films are there,Mobile,0,Quinnipiac University,Yes,0.41455000341184,23/12/21 23:23,
True,show me the latest trailer for the avengers,Mobile,2,Quinnipiac University,No,0.385224676896483,23/12/21 23:38,
False,who directed beaty and the beast,Mobile,0,Quinnipiac University,I don't use Tinder,0.580185097333433,23/12/21 23:53,
True,show me a comedy with nick swardson,Mobile,0,United States Naval Academy,Yes,0.746141275326538,24/12/21 00:08,
True,how many movies are in the sex and the city series,Mobile,3,United States Naval Academy,No,0.453235953021588,24/12/21 00:23,
True,did martin scorsese and johnny depp ever work together,Mobile,4,United States Naval Academy,I don't use Tinder,0.239674405360754,24/12/21 00:38,1
False,who directed the film the lorax,Web,2,"University of California, Santa Cruz",Yes,0.04855814851133,24/12/21 00:53,1
False,has samuel jackson been in any thriller flicks,Web,1,"University of California, Santa Cruz",No,0.043654729909608,24/12/21 01:08,
True,todd,University,0,"University of California, Santa Cruz",I don't use Tinder,0.29907708029485,24/12/21 01:23,
False,what was the film about brandon teena,Mobile,1,Rice University ,Yes,0.718617075844287,24/12/21 01:38,
False,who starred in drive,Mobile,4,Rice University ,No,0.248211031520649,24/12/21 01:53,
True,what is kingdom of heaven rated,University,1,Rice University ,I don't use Tinder,0.834590782189441,24/12/21 02:08,
True,super man,Mobile,4,Mississippi State University,Yes,0.576013137745765,24/12/21 02:23,1
True,what is a monty python film about king arthur,University,6,Mississippi State University,No,0.52446183613701,24/12/21 02:38,1
False,who was the actor in the movie teen wolf,University,1,Mississippi State University,I don't use Tinder,0.769224863876894,24/12/21 02:53,
True,show me classic comedies starring bill murray,University,7,University of Missouri,Yes,0.683737910285094,24/12/21 03:08,
True,when did underworld come out,Mobile,15,University of Missouri,No,0.089104173639933,24/12/21 03:23,1
False,find a film with animated skeletons,Mobile,8,University of Missouri,I don't use Tinder,0.352686758700257,24/12/21 03:38,1
False,what animated voices has eddie murphy done,University,1,University of Georgia,Yes,0.72162383486347,24/12/21 03:53,
True,please list rated r noir films,University,9,University of Georgia,No,0.591647675513966,24/12/21 04:08,1
False,show me the trailer for rage,University,1,University of Georgia,I don't use Tinder,0.945180201434588,24/12/21 04:23,1
True,are there any films with volcanos,Mobile,2,Louisiana State University,Yes,0.461569079388405,24/12/21 04:38,1
True,what is act of valor rated,University,4,Louisiana State University,No,0.270695171137096,24/12/21 04:53,1
False,who directed terminator 2 judgement day,University,2,Louisiana State University,I don't use Tinder,0.45823798448029,24/12/21 05:08,
True,what horror movies have snakes,Mobile,0,Lehigh University,Yes,0.740256862409701,24/12/21 05:23,1
True,what was the name of clive owens character in sin city,Mobile,2,Lehigh University,No,0.187959346089323,24/12/21 05:38,1
False,how many charlies angels movies are there,University,1,Lehigh University,I don't use Tinder,0.655991028367077,24/12/21 05:53,1
True,i am looking for a pg rated disney movie,University,1,Northern Arizona University,Yes,0.452644648503043,24/12/21 06:08,
False,how many star wars films are there,Mobile,0,Northern Arizona University,No,0.585772861545488,24/12/21 06:23,1
True,who is directing the hobbit,University,0,Northern Arizona University,I don't use Tinder,0.752071908935851,24/12/21 06:38,1
False,what did critics think of j edgar,Web,0,Elon University,Yes,0.018563102977621,24/12/21 06:53,
False,who starred in the movie jurassic park,Mobile,4,Elon University,No,0.284871116798593,24/12/21 07:08,1
True,how many movies has clint eastwood directed since 1995,Web,2,Elon University,I don't use Tinder,0.536930042921432,24/12/21 07:23,
False,what is the name of the highest grossing movie of 2011,Mobile,1,Vassar College,Yes,0.947178814139612,24/12/21 07:38,
True,when did the game come out,University,1,Vassar College,No,0.830307925035368,24/12/21 07:53,
False,has john candy made any must see movies,Web,0,Vassar College,I don't use Tinder,0.265815439668666,24/12/21 08:08,
True,are there any horror films with don rickles,Mobile,0,University of Pittsburgh,Yes,0.442885290021222,24/12/21 08:23,1
False,find me the movie with the song married life,Mobile,0,University of Pittsburgh,No,0.394393411881054,24/12/21 08:38,1
False,show me an oscar winning science fiction movie,Mobile,2,University of Pittsburgh,I don't use Tinder,0.267888157781506,24/12/21 08:53,1
True,give me a list of legal dramas from the 70s,Mobile,2,University of Chicago,Yes,0.752421495168935,24/12/21 09:08,1
True,rainbow 6,Mobile,1,University of Chicago,No,0.913886866230105,24/12/21 09:23,1
True,show me a wes craven movie,Mobile,2,University of Chicago,I don't use Tinder,0.906582654989829,24/12/21 09:38,
True,show me action movies that deal with stealing cars,University,0,University of Buffalo,Yes,0.278961396495341,24/12/21 09:53,
True,when did the first hobbit movie come out,Mobile,0,University of Buffalo,No,0.385974401612184,24/12/21 10:08,1
False,what were the reviews like for the man who shot liberty valance,University,1,University of Buffalo,I don't use Tinder,0.7994045702354,24/12/21 10:23,1
False,show me any action movies that are in theatres right now,Mobile,2,University of Minnesota,Yes,0.906614543503089,24/12/21 10:38,1
True,i want an fantasy action adventure film,Mobile,1,University of Minnesota,No,0.99554698865974,24/12/21 10:53,
False,what films did pearce brosnan star in,Mobile,1,University of Minnesota,I don't use Tinder,0.997609740185117,24/12/21 11:08,
True,what is a good romance movie with jennifer aniston,Mobile,0,Colorado State University,Yes,0.56334030540974,24/12/21 11:23,1
